,Hour,Avr,MovingAverage5,MovingAverage20,MovingAverage50,1h%,7h%,35h%,140h%,Patterns
0,15,14467.53466796875,14348.5962890625,14401.45283203125,14609.583193359374,-0.00010725217761065053,-0.015572219728596015,0.007872201841983673,0.06103411618198451,0
1,16,14471.83740234375,14397.8033203125,14398.622973632813,14599.06787109375,-0.0004596369535967426,-0.018035808639906392,0.009591657801806042,0.06332107904649176,0
2,17,14485.75244140625,14447.39287109375,14395.306591796874,14588.11841796875,-0.001472278521278625,-0.019895397154120364,0.0074830551554403435,0.06197164198228311,0
3,18,14482.875,14470.3076171875,14394.773071289062,14577.24228515625,0.0019137048303667914,-0.01615195493985777,0.010193039592173214,0.06351530582527198,0
4,19,14448.04638671875,14471.2091796875,14396.273803710938,14565.606396484374,0.002631475824039109,-0.014757069523657629,0.011552071255933605,0.06626654553706612,0
5,13,14341.06787109375,14445.9158203125,14393.784790039062,14551.4978515625,-0.0071729002448143175,-0.005326598503702429,0.015394510191977684,0.0669669267655808,0
6,14,14374.96484375,14426.54130859375,14389.712719726562,14539.800341796876,0.0023880440273427173,0.004407100904348482,0.019731868430540977,0.06595878267296196,0
7,15,14357.763671875,14400.9435546875,14383.84443359375,14527.76119140625,-0.00014649645963493718,0.007517567163083827,0.01567852174870521,0.06278121420264804,0
8,16,14378.0703125,14379.9826171875,14377.081713867188,14516.26443359375,-0.002748889537615762,0.004907074402336287,0.008242531170540746,0.06115241469272226,0
9,17,14444.92919921875,14379.3591796875,14371.49853515625,14505.98333984375,-0.00616935231674387,-0.0010037489108586373,0.0026567366089529365,0.05453450798847448,0
10,18,14480.30810546875,14407.2072265625,14367.261767578126,14495.983662109375,0.0013325043394964986,0.0018003824142360791,0.008356951626886877,0.055966734429016896,0
11,19,14486.6103515625,14429.536328125,14371.504736328125,14485.878115234374,-0.0026304335751902164,-0.002664970133955391,0.005079769015724933,0.053240158679666694,0
12,13,14683.1884765625,14494.6212890625,14391.972680664063,14479.907373046875,-0.006996251283936217,-0.03021997212952021,-0.010216281869090404,0.03784684173223263,0
13,14,14733.56640625,14565.7205078125,14417.217407226562,14480.154775390625,0.00024447595703591674,-0.02305611120951434,-0.009746490099519223,0.04153320365324498,0
14,15,14733.87890625,14623.51044921875,14443.377099609375,14482.53376953125,-0.00033200801829180726,-0.025760376228040283,-0.009603116554628865,0.038790995120807414,1
15,16,14741.3056640625,14675.7099609375,14469.35732421875,14485.386455078125,-0.0006556270983791856,-0.02630236846282663,-0.019072324741770674,0.038997097161353134,0
16,17,14724.02978515625,14723.19384765625,14494.268701171875,14487.666845703125,0.003034228749322354,-0.020507265336824343,-0.013843772457886039,0.039124871542303374,0
17,18,14697.63427734375,14726.0830078125,14517.260180664063,14489.39986328125,0.0005526304945693283,-0.013858098578912181,-0.00910288431247186,0.039801624594084206,0
18,19,14673.1103515625,14713.991796875,14532.500634765625,14490.707255859375,0.002692824594793475,-0.012682986581461608,-0.007547053121140013,0.042744508486536104,0
19,13,14684.8798828125,14704.1919921875,14544.567700195312,14492.95173828125,0.0017453168573433597,-0.002755686390349066,-0.011812604273397254,0.045150871866373565,0
20,14,14652.26123046875,14686.38310546875,14553.804028320312,14493.445712890625,0.00265369125563919,0.007006257460440812,-0.02057736921846276,0.04420338341463981,0
21,15,14613.48681640625,14664.27451171875,14560.886499023438,14493.48013671875,0.0026719984850356315,0.009417805984845762,-0.009896987101054577,0.04261520070100566,0
22,16,14585.095703125,14641.766796875,14565.853662109375,14494.166611328124,0.00124736790164226,0.01100896975303689,-0.0077094545301302775,0.04663982147993262,0
23,17,14602.88623046875,14627.72197265625,14571.854223632812,14495.772861328125,-0.003780018931132556,0.00791467120056244,-0.009807050228242242,0.042648313395748705,0
24,18,14623.2890625,14615.40380859375,14580.616357421875,14497.05142578125,0.0010375182307347242,0.005883212115818326,-0.005248326861539421,0.04186601208406726,0
25,19,14596.86279296875,14604.32412109375,14593.406103515625,14497.262880859374,0.0026004539992490194,0.007883959689111153,-0.0002627986563037421,0.03981061347509329,0
26,13,14600.77197265625,14601.78115234375,14604.696459960938,14498.35056640625,-0.008095746610518484,0.0025626905272910783,-0.011358545724584723,0.037210604853184615,0
27,14,14655.2021484375,14615.80244140625,14619.568383789063,14499.73189453125,0.000999371176188646,0.00162439484375132,-0.023315949563956773,0.02825707000105071,0
28,15,14637.05224609375,14622.63564453125,14632.51748046875,14500.6573828125,0.001478039426803468,0.00046089832241147377,-0.02620196613896264,0.030324211890909725,0
29,16,14591.3466796875,14616.24716796875,14639.838354492187,14501.860400390626,0.004767877427109157,0.002579027887017915,-0.023532329657230733,0.03770299538360522,0
30,17,14565.59130859375,14609.99287109375,14644.102514648437,14503.534443359375,-0.0012243788687739121,4.944954879637642e-05,-0.02514677068314486,0.03528634035950229,0
31,18,14559.91455078125,14601.82138671875,14647.767724609375,14504.16404296875,0.0020248722445197487,0.005890787687321097,-0.02130335599461619,0.034369317656524734,0
32,19,14514.5849609375,14573.69794921875,14639.337548828125,14503.414140625,0.004278816185198764,0.009128860399407968,-0.0184669418297434,0.042260490634442816,0
33,13,14512.97314453125,14548.88212890625,14628.307885742188,14503.8026953125,0.003671484792456825,0.0038001077655580584,-0.011759833944236298,0.04705753714106331,0
34,14,14481.32763671875,14526.8783203125,14615.680322265625,14505.06861328125,0.00048626416710662035,0.01275841426212998,-0.003917026834240889,0.04325606101741797,0
35,15,14493.38720703125,14512.4375,14603.284399414062,14507.11939453125,-0.0021048183519751795,0.009594622391374097,-0.002887756124038021,0.04179293826745667,0
36,16,14492.7490234375,14499.00439453125,14591.720361328125,14507.84625,0.002230700792044571,0.01032329848521063,-0.0005589568998088934,0.044788529659355314,0
37,17,14495.62841796875,14495.2130859375,14581.620068359374,14508.25623046875,-0.0026816783421725887,0.0028644757042659563,-0.0027564254416521106,0.03925689407434474,0
38,18,14499.18701171875,14492.455859375,14572.923901367187,14507.9734765625,0.0022316667969151105,0.006325629429223323,0.0009454763823411039,0.03893445040965582,0
39,19,14473.53515625,14490.89736328125,14562.356665039062,14506.31232421875,0.0010633885424069511,0.005511433722108272,8.208992302982665e-05,0.03789408563707175,0
40,13,14511.6337890625,14494.5466796875,14555.32529296875,14505.244130859375,0.0033860928464339857,0.003621148304220112,-0.013643664958812751,0.04045050296273023,0
41,14,14498.6787109375,14495.7326171875,14549.584887695313,14507.182685546875,-0.0017066721797023288,-0.0018064748154476007,-0.00819741028648202,0.03415417131610332,0
42,15,14521.7509765625,14500.95712890625,14546.417651367188,14512.14111328125,-0.0014258563437301586,-0.003715438372537294,-0.012069781885240438,0.03454593618845969,0
43,16,14540.06591796875,14509.13291015625,14543.276635742188,14518.368994140625,-0.0011210697614036924,-0.002703093121487532,-0.013055854526883848,0.035125375754042176,0
44,17,14550.09033203125,14524.4439453125,14539.61669921875,14525.157099609374,-0.00028057798393610334,-0.005220253717389878,-0.010438225767366749,0.03811028815244866,0
45,18,14548.169921875,14531.751171875,14537.182055664063,14531.686474609374,0.0003817520890116999,-0.0020656641791461094,-0.0038118140790788235,0.040300022498263255,0
